glcID;gbifID;PlotID;lon;lat;x_EPSG3035;y_EPSG3035;geoUncertaintyInM;year;dayOfYear;date;datasetName;observer;source;PlotObservationID_eva;speciesId;grid_x;grid_y;grid_cell;test
5140269;3473384501.0;3018575;3.796463;43.519427;4120673.0;2801353.0;1.0;2018;31;2018-01-31;Inventaire forestier IGN;(IGN);GBIF;;2;82;56;(82, 56);True
5279421;3474158882.0;3011783;3.896501;43.520398;3625340.0;2241565.0;1.0;2017;200;2017-07-19;Inventaire forestier IGN;(IGN);GBIF;;0;72;44;(72, 44);True
5058088;3475680391.0;3018192;3.896501;43.520398;4074778.2856716;2703501.66316011;1.0;2017;269;2017-09-26;Inventaire forestier IGN;(IGN);GBIF;;2;81;54;(81, 54);True
5146840;3476162355.0;3015541;3.896501;43.520398;3897015.0;2492494.0;1.0;2017;263;2017-09-20;Inventaire forestier IGN;(IGN);GBIF;;4;77;49;(77, 49);True
5255062;3475123756.0;3018391;3.896501;43.520398;4092660.0;2741886.0;1.0;2019;261;2019-09-18;Inventaire forestier IGN;(IGN);GBIF;;1;81;54;(81, 54);False
5276156;3473966844.0;3018559;3.866501;43.526398;4119852.0;2833574.0;1.0;2019;85;2019-03-26;Inventaire forestier IGN;(IGN);GBIF;;0;82;56;(82, 56);False
5109593;3474591347.0;3015509;3.78891;43.661663;3893265.0;2474811.0;1.0;2019;52;2019-02-21;Inventaire forestier IGN;(IGN);GBIF;;1;77;49;(77, 49);False
5299769;3475997553.0;3015451;3.8707;43.6113;3887721.0;2459318.0;1.0;2018;143;2018-05-23;Inventaire forestier IGN;(IGN);GBIF;;2;77;49;(77, 49);False
5068606;3473934936.0;3011549;3.806076;43.483567;3611982.928792;2248948.48150746;1.0;2019;287;2019-10-14;Inventaire forestier IGN;(IGN);GBIF;;2;72;44;(72, 44);False
5265805;3475219288.0;3018581;3.887787;43.621662;4122631.0;2841330.0;1.0;2017;177;2017-06-26;Inventaire forestier IGN;(IGN);GBIF;;3;82;56;(82, 56);False
5043246;3474563137.0;3011737;3.941345;43.552778;3622118.42626326;2249906.93622917;1.0;2017;320;2017-11-16;Inventaire forestier IGN;(IGN);GBIF;;4;72;44;(72, 44);False
5056316;3474559068.0;3018199;3.941345;43.52814;4075566.63464488;2711457.27400745;1.0;2018;347;2018-12-13;Inventaire forestier IGN;(IGN);GBIF;;0;81;54;(81, 54);False
5255428;3473199526.0;3017670;3.956451;43.700148;4042270.0;2781103.0;1.0;2018;269;2018-09-26;Inventaire forestier IGN;(IGN);GBIF;;1;80;55;(80, 55);False
5273330;3476121563.0;3018200;3.941345;43.52814;4080262.0;2819466.0;1.0;2018;114;2018-04-24;Inventaire forestier IGN;(IGN);GBIF;;3;81;56;(81, 56);False
